week,home_team,away_team,home_score,away_score,model_home_win_prob,model_away_win_prob,edge_spread,edge_moneyline
5,ARI,TEN,21,22,0.25,0.75,0.0,0.0
5,BAL,HOU,10,44,0.25,0.75,0.0,0.0
5,BUF,NE,20,23,0.25,0.75,0.0,0.0
5,CAR,MIA,27,24,0.75,0.25,0.0,0.0
5,CIN,DET,24,37,0.25,0.75,0.0,0.0
5,CLE,MIN,17,21,0.25,0.75,0.0,0.0
5,IND,LV,40,6,0.75,0.25,0.0,0.0
5,JAX,KC,31,28,0.75,0.25,0.0,0.0
5,LAC,WSH,10,27,0.25,0.75,0.0,0.0
5,LAR,SF,23,26,0.25,0.75,0.0,0.0
5,NO,NYG,26,14,0.75,0.25,0.0,0.0
5,NYJ,DAL,22,37,0.25,0.75,0.0,0.0
5,PHI,DEN,17,21,0.25,0.75,0.0,0.0
5,SEA,TB,35,38,0.25,0.75,0.0,0.0
6,ATL,BUF,24,14,0.75,0.25,0.0,0.0
6,BAL,LAR,3,17,0.25,0.75,0.0,0.0
6,CAR,DAL,30,27,0.75,0.25,0.0,0.0
6,GB,CIN,27,18,0.75,0.25,0.0,0.0
6,IND,ARI,31,27,0.75,0.25,0.0,0.0
6,JAX,SEA,12,20,0.25,0.75,0.0,0.0
6,KC,DET,30,17,0.75,0.25,0.0,0.0
6,LV,TEN,20,10,0.75,0.25,0.0,0.0
6,MIA,LAC,27,29,0.25,0.75,0.0,0.0
6,NO,NE,19,25,0.25,0.75,0.0,0.0
6,NYG,PHI,34,17,0.75,0.25,0.0,0.0
6,NYJ,DEN,11,13,0.25,0.75,0.0,0.0
6,PIT,CLE,23,9,0.75,0.25,0.0,0.0
6,TB,SF,30,19,0.75,0.25,0.0,0.0
6,WSH,CHI,24,25,0.25,0.75,0.0,0.0
7,ARI,GB,23,27,0.25,0.75,0.0,0.0
7,CHI,NO,26,14,0.75,0.25,0.0,0.0
7,CIN,PIT,33,31,0.75,0.25,0.0,0.0
7,CLE,MIA,31,6,0.75,0.25,0.0,0.0
7,DAL,WSH,44,22,0.75,0.25,0.0,0.0
7,DEN,NYG,33,32,0.75,0.25,0.0,0.0
7,DET,TB,24,9,0.75,0.25,0.0,0.0
7,JAX,LAR,7,35,0.25,0.75,0.0,0.0
7,KC,LV,31,0,0.75,0.25,0.0,0.0
7,LAC,IND,24,38,0.25,0.75,0.0,0.0
7,MIN,PHI,22,28,0.25,0.75,0.0,0.0
7,NYJ,CAR,6,13,0.25,0.75,0.0,0.0
7,SEA,HOU,27,19,0.75,0.25,0.0,0.0
7,SF,ATL,20,10,0.75,0.25,0.0,0.0
7,TEN,NE,13,31,0.25,0.75,0.0,0.0
8,ATL,MIA,10,34,0.25,0.75,0.0,0.0
8,BAL,CHI,30,16,0.75,0.25,0.0,0.0
8,CAR,BUF,9,40,0.25,0.75,0.0,0.0
8,CIN,NYJ,38,39,0.25,0.75,0.0,0.0
8,DEN,DAL,44,24,0.75,0.25,0.0,0.0
8,HOU,SF,26,15,0.75,0.25,0.0,0.0
8,IND,TEN,38,14,0.75,0.25,0.0,0.0
8,KC,WSH,28,7,0.75,0.25,0.0,0.0
8,LAC,MIN,37,10,0.75,0.25,0.0,0.0
8,NE,CLE,32,13,0.75,0.25,0.0,0.0
8,NO,TB,3,23,0.25,0.75,0.0,0.0
8,PHI,NYG,38,20,0.75,0.25,0.0,0.0
8,PIT,GB,25,35,0.25,0.75,0.0,0.0
9,BUF,KC,28,21,0.75,0.25,0.0,0.0
9,CIN,CHI,42,47,0.25,0.75,0.0,0.0
9,DAL,ARI,17,27,0.25,0.75,0.0,0.0
9,DET,MIN,24,27,0.25,0.75,0.0,0.0
9,GB,CAR,13,16,0.25,0.75,0.0,0.0
9,HOU,DEN,15,18,0.25,0.75,0.0,0.0
9,LAR,NO,34,10,0.75,0.25,0.0,0.0
9,LV,JAX,29,30,0.25,0.75,0.0,0.0
9,MIA,BAL,6,28,0.25,0.75,0.0,0.0
9,NE,ATL,24,23,0.75,0.25,0.0,0.0
9,NYG,SF,24,34,0.25,0.75,0.0,0.0
9,PIT,IND,27,20,0.75,0.25,0.0,0.0
9,TEN,LAC,20,27,0.25,0.75,0.0,0.0
9,WSH,SEA,14,38,0.25,0.75,0.0,0.0
10,CAR,NO,7,17,0.25,0.75,0.0,0.0
10,CHI,NYG,24,20,0.75,0.25,0.0,0.0
10,DEN,LV,10,7,0.75,0.25,0.0,0.0
10,GB,PHI,7,10,0.25,0.75,0.0,0.0
10,HOU,JAX,36,29,0.75,0.25,0.0,0.0
10,IND,ATL,31,25,0.75,0.25,0.0,0.0
10,LAC,PIT,25,10,0.75,0.25,0.0,0.0
10,MIA,BUF,30,13,0.75,0.25,0.0,0.0
10,MIN,BAL,19,27,0.25,0.75,0.0,0.0
10,NYJ,CLE,27,20,0.75,0.25,0.0,0.0
10,SEA,ARI,44,22,0.75,0.25,0.0,0.0
10,SF,LAR,26,42,0.25,0.75,0.0,0.0
10,TB,NE,23,28,0.25,0.75,0.0,0.0
10,WSH,DET,22,44,0.25,0.75,0.0,0.0
11,ARI,SF,22,41,0.25,0.75,0.0,0.0
11,ATL,CAR,27,30,0.25,0.75,0.0,0.0
11,BUF,TB,44,32,0.75,0.25,0.0,0.0
11,CLE,BAL,16,23,0.25,0.75,0.0,0.0
11,DEN,KC,22,19,0.75,0.25,0.0,0.0
11,JAX,LAC,35,6,0.75,0.25,0.0,0.0
11,LAR,SEA,21,19,0.75,0.25,0.0,0.0
11,LV,DAL,16,33,0.25,0.75,0.0,0.0
11,MIA,WSH,16,13,0.75,0.25,0.0,0.0
11,MIN,CHI,17,19,0.25,0.75,0.0,0.0
11,NE,NYJ,27,14,0.75,0.25,0.0,0.0
11,NYG,GB,20,27,0.25,0.75,0.0,0.0
11,PHI,DET,16,9,0.75,0.25,0.0,0.0
11,PIT,CIN,34,12,0.75,0.25,0.0,0.0
11,TEN,HOU,13,16,0.25,0.75,0.0,0.0
12,ARI,JAX,24,27,0.25,0.75,0.0,0.0
12,BAL,NYJ,23,10,0.75,0.25,0.0,0.0
12,CHI,PIT,31,28,0.75,0.25,0.0,0.0
12,CIN,NE,20,26,0.25,0.75,0.0,0.0
12,DAL,PHI,24,21,0.75,0.25,0.0,0.0
12,DET,NYG,34,27,0.75,0.25,0.0,0.0
12,GB,MIN,23,6,0.75,0.25,0.0,0.0
12,HOU,BUF,23,19,0.75,0.25,0.0,0.0
12,KC,IND,23,20,0.75,0.25,0.0,0.0
12,LAR,TB,34,7,0.75,0.25,0.0,0.0
12,LV,CLE,10,24,0.25,0.75,0.0,0.0
12,NO,ATL,10,24,0.25,0.75,0.0,0.0
12,SF,CAR,20,9,0.75,0.25,0.0,0.0
12,TEN,SEA,24,30,0.25,0.75,0.0,0.0
13,BAL,CIN,14,32,0.25,0.75,0.0,0.0
13,CAR,LAR,31,28,0.75,0.25,0.0,0.0
13,CLE,SF,8,26,0.25,0.75,0.0,0.0
13,DAL,KC,31,28,0.75,0.25,0.0,0.0
13,DET,GB,24,31,0.25,0.75,0.0,0.0
13,IND,HOU,16,20,0.25,0.75,0.0,0.0
13,LAC,LV,31,14,0.75,0.25,0.0,0.0
13,MIA,NO,21,17,0.75,0.25,0.0,0.0
13,NE,NYG,33,15,0.75,0.25,0.0,0.0
13,NYJ,ATL,27,24,0.75,0.25,0.0,0.0
13,PHI,CHI,15,24,0.25,0.75,0.0,0.0
13,PIT,BUF,7,26,0.25,0.75,0.0,0.0
13,SEA,MIN,26,0,0.75,0.25,0.0,0.0
13,TB,ARI,20,17,0.75,0.25,0.0,0.0
13,TEN,JAX,3,25,0.25,0.75,0.0,0.0
13,WSH,DEN,26,27,0.25,0.75,0.0,0.0
14,ARI,LAR,17,45,0.25,0.75,0.0,0.0
14,ATL,SEA,9,37,0.25,0.75,0.0,0.0
14,BAL,PIT,22,27,0.25,0.75,0.0,0.0
14,BUF,CIN,39,34,0.75,0.25,0.0,0.0
14,CLE,TEN,29,31,0.25,0.75,0.0,0.0
14,DET,DAL,44,30,0.75,0.25,0.0,0.0
14,GB,CHI,28,21,0.75,0.25,0.0,0.0
14,JAX,IND,36,19,0.75,0.25,0.0,0.0
14,KC,HOU,10,20,0.25,0.75,0.0,0.0
14,LAC,PHI,22,19,0.75,0.25,0.0,0.0
14,LV,DEN,17,24,0.25,0.75,0.0,0.0
14,MIN,WSH,31,0,0.75,0.25,0.0,0.0
14,NYJ,MIA,10,34,0.25,0.75,0.0,0.0
14,TB,NO,20,24,0.25,0.75,0.0,0.0
15,CHI,CLE,0,0,0.5,0.5,0.0,0.0
15,CIN,BAL,0,0,0.5,0.5,0.0,0.0
15,DAL,MIN,0,0,0.5,0.5,0.0,0.0
15,DEN,GB,0,0,0.5,0.5,0.0,0.0
15,HOU,ARI,0,0,0.5,0.5,0.0,0.0
15,JAX,NYJ,0,0,0.5,0.5,0.0,0.0
15,KC,LAC,0,0,0.5,0.5,0.0,0.0
15,LAR,DET,0,0,0.5,0.5,0.0,0.0
15,NE,BUF,0,0,0.5,0.5,0.0,0.0
15,NO,CAR,0,0,0.5,0.5,0.0,0.0
15,NYG,WSH,0,0,0.5,0.5,0.0,0.0
15,PHI,LV,0,0,0.5,0.5,0.0,0.0
15,PIT,MIA,0,0,0.5,0.5,0.0,0.0
15,SEA,IND,0,0,0.5,0.5,0.0,0.0
15,SF,TEN,0,0,0.5,0.5,0.0,0.0
15,TB,ATL,0,0,0.5,0.5,0.0,0.0
16,ARI,ATL,0,0,0.5,0.5,0.0,0.0
16,BAL,NE,0,0,0.5,0.5,0.0,0.0
16,CAR,TB,0,0,0.5,0.5,0.0,0.0
16,CHI,GB,0,0,0.5,0.5,0.0,0.0
16,CLE,BUF,0,0,0.5,0.5,0.0,0.0
16,DAL,LAC,0,0,0.5,0.5,0.0,0.0
16,DEN,JAX,0,0,0.5,0.5,0.0,0.0
16,DET,PIT,0,0,0.5,0.5,0.0,0.0
16,HOU,LV,0,0,0.5,0.5,0.0,0.0
16,IND,SF,0,0,0.5,0.5,0.0,0.0
16,MIA,CIN,0,0,0.5,0.5,0.0,0.0
16,NO,NYJ,0,0,0.5,0.5,0.0,0.0
16,NYG,MIN,0,0,0.5,0.5,0.0,0.0
16,SEA,LAR,0,0,0.5,0.5,0.0,0.0
16,TEN,KC,0,0,0.5,0.5,0.0,0.0
16,WSH,PHI,0,0,0.5,0.5,0.0,0.0
17,ATL,LAR,0,0,0.5,0.5,0.0,0.0
17,BUF,PHI,0,0,0.5,0.5,0.0,0.0
17,CAR,SEA,0,0,0.5,0.5,0.0,0.0
17,CIN,ARI,0,0,0.5,0.5,0.0,0.0
17,CLE,PIT,0,0,0.5,0.5,0.0,0.0
17,GB,BAL,0,0,0.5,0.5,0.0,0.0
17,IND,JAX,0,0,0.5,0.5,0.0,0.0
17,KC,DEN,0,0,0.5,0.5,0.0,0.0
17,LAC,HOU,0,0,0.5,0.5,0.0,0.0
17,LV,NYG,0,0,0.5,0.5,0.0,0.0
17,MIA,TB,0,0,0.5,0.5,0.0,0.0
17,MIN,DET,0,0,0.5,0.5,0.0,0.0
17,NYJ,NE,0,0,0.5,0.5,0.0,0.0
17,SF,CHI,0,0,0.5,0.5,0.0,0.0
17,TEN,NO,0,0,0.5,0.5,0.0,0.0
17,WSH,DAL,0,0,0.5,0.5,0.0,0.0
18,ATL,NO,0,0,0.5,0.5,0.0,0.0
18,BUF,NYJ,0,0,0.5,0.5,0.0,0.0
18,CHI,DET,0,0,0.5,0.5,0.0,0.0
18,CIN,CLE,0,0,0.5,0.5,0.0,0.0
18,DEN,LAC,0,0,0.5,0.5,0.0,0.0
18,HOU,IND,0,0,0.5,0.5,0.0,0.0
18,JAX,TEN,0,0,0.5,0.5,0.0,0.0
18,LAR,ARI,0,0,0.5,0.5,0.0,0.0
18,LV,KC,0,0,0.5,0.5,0.0,0.0
18,MIN,GB,0,0,0.5,0.5,0.0,0.0
18,NE,MIA,0,0,0.5,0.5,0.0,0.0
18,NYG,DAL,0,0,0.5,0.5,0.0,0.0
18,PHI,WSH,0,0,0.5,0.5,0.0,0.0
18,PIT,BAL,0,0,0.5,0.5,0.0,0.0
18,SF,SEA,0,0,0.5,0.5,0.0,0.0
18,TB,CAR,0,0,0.5,0.5,0.0,0.0
